n_elements,repeat,seed,eps,eps_n,moves,round_trips,tau_moves_per_round_trip,tau_is_lower_bound,wl_acceptance,seconds
50,0,20260765,0.24,12.0,9995823,15,666388.2,False,0.1143006433787393,1065.7564706
50,1,20261765,0.24,12.0,3143769,15,209584.6,False,0.16891221969553105,334.3024552
50,2,20262765,0.24,12.0,6475823,15,431721.5333333333,False,0.10009631208264957,698.7872768
60,0,20260775,0.2,12.0,17566023,15,1171068.2,False,0.1144366029806519,2048.4856544
60,1,20261775,0.2,12.0,66978893,15,4465259.533333333,False,0.07113060229287456,7759.4981185999995
60,2,20262775,0.2,12.0,29207359,15,1947157.2666666666,False,0.059592926563473265,3476.9715988
70,0,20260785,0.17142857142857143,12.0,90172809,15,6011520.6,False,0.04078619753322756,11798.8422839
70,1,20261785,0.17142857142857143,12.0,84015284,15,5601018.933333334,False,0.04207579658958244,10924.0360506
70,2,20262785,0.17142857142857143,12.0,34578532,15,2305235.466666667,False,0.12167031845076592,4453.3402079
80,0,20260795,0.15,12.0,197499534,14,14107109.57142857,True,0.05028459459554978,28747.019539300003
80,1,20261795,0.15,12.0,157785013,15,10519000.866666667,False,0.12634572587701975,21955.1503325
80,2,20262795,0.15,12.0,197498045,13,15192157.307692308,True,0.06666521686328591,28714.1135488
