N,tick_count,repetitions,event_count,accessible_count,accessible_fraction,radar_time_mae,radar_time_rmse,radar_time_bias,radar_distance_mae,radar_distance_rmse,radar_distance_bias
300.0,16.0,5.0,1500.0,1500.0,1.0,0.02249609945949778,0.02740338656756954,-0.00011326758832925658,0.06627333775223605,0.07149726690596013,0.06627333775223605
300.0,32.0,5.0,1500.0,1500.0,1.0,0.01073877386756323,0.013229741182159983,0.0006824313364019092,0.031972262483418834,0.034594769807568204,0.031972262483418834
300.0,64.0,5.0,1500.0,1500.0,1.0,0.005404650562955526,0.006574085969155379,-3.919351425522973e-05,0.015871221350119622,0.017104739231115752,0.015871221350119622
300.0,128.0,5.0,1500.0,1500.0,1.0,0.002654326624658283,0.003252398096223862,2.2179759752019762e-06,0.007848140901842337,0.008495866980433314,0.007848140901842337
600.0,16.0,5.0,3000.0,3000.0,1.0,0.021737533262328815,0.026669552096151232,-0.0007142963954274375,0.06515347700498184,0.07064137265268162,0.06515347700498184
600.0,32.0,5.0,3000.0,3000.0,1.0,0.01064885554616729,0.013044737729247934,-0.00011573008718372635,0.03193268847451587,0.03451987077276242,0.03193268847451587
600.0,64.0,5.0,3000.0,3000.0,1.0,0.005330646245062889,0.006523967144445022,5.280324149236496e-06,0.015684693936198736,0.016943928443184587,0.015684693936198736
600.0,128.0,5.0,3000.0,3000.0,1.0,0.0026330881243616946,0.003227014292002984,-9.049937005561212e-05,0.00786021366289958,0.008504962996037422,0.00786021366289958
1200.0,16.0,5.0,6000.0,6000.0,1.0,0.02229825994313904,0.027327329452802557,8.191431113282555e-05,0.0651593378590165,0.07060375972189599,0.0651593378590165
1200.0,32.0,5.0,6000.0,6000.0,1.0,0.010760467723397076,0.013163425508360277,4.1770941957183784e-05,0.03155431993786953,0.03422214930099715,0.03155431993786953
1200.0,64.0,5.0,6000.0,6000.0,1.0,0.005306189503958055,0.006503204908552659,8.614711536558602e-05,0.015774152673831286,0.017031957259529308,0.015774152673831286
1200.0,128.0,5.0,6000.0,6000.0,1.0,0.002646909309316464,0.0032322321512650936,-9.560099945335362e-05,0.00790115763154492,0.008521272888002158,0.00790115763154492
2400.0,16.0,5.0,12000.0,12000.0,1.0,0.0221837047545049,0.0272064946515236,-5.8472786666961504e-05,0.06501148775865433,0.07049415810180805,0.06501148775865433
2400.0,32.0,5.0,12000.0,12000.0,1.0,0.010650242290943652,0.013044988252736249,-9.969142465980903e-05,0.0320509142819518,0.034652650760233,0.0320509142819518
2400.0,64.0,5.0,12000.0,12000.0,1.0,0.005248673465672703,0.006461541711228966,6.0574832380613695e-05,0.015746937494104035,0.01704250199651714,0.015746937494104035
2400.0,128.0,5.0,12000.0,12000.0,1.0,0.002636297536656249,0.003224608258852266,4.956784636623403e-06,0.007829510505810919,0.008458390867633581,0.007829510505810919
