N,tick_count,beta,repetitions,event_count,accessible_count,accessible_fraction,lab_time_rmse,lab_position_rmse,moving_time_rmse,moving_position_rmse,known_beta_lorentz_residual_rmse,fitted_beta_mean,fitted_beta_std,fitted_beta_bias,fitted_beta_rmse,fitted_lorentz_residual_rmse
300.0,32.0,0.3,5.0,1500.0,457.0,0.30466666666666664,0.007539987779652711,0.03804317145610392,0.004498552786601623,0.030983280371235867,0.032268132875731007,0.29906,0.007700275969080641,-0.0009399999999999742,0.006951186949003788,0.03221014887117555
300.0,32.0,0.6,5.0,1500.0,161.0,0.10733333333333334,0.00737170897072789,0.03496580419825029,0.002755370051057114,0.015060533163698122,0.03453842044340166,0.59907,0.01793211504535923,-0.0009299999999999419,0.01606591111639794,0.03428654989940213
300.0,64.0,0.3,5.0,1500.0,457.0,0.30466666666666664,0.0030468764114569467,0.02030751306259646,0.002362109237714077,0.014946169558885055,0.016440806320088156,0.3002,0.0027697021500515365,0.00020000000000003348,0.002485357117196661,0.016429165173670515
300.0,64.0,0.6,5.0,1500.0,161.0,0.10733333333333334,0.003274437827636805,0.01673677909334966,0.0015099262380562069,0.007034417253943773,0.01671983221889202,0.6024900000000001,0.007026147593098274,0.002490000000000081,0.006759696738759878,0.01662050069941416
300.0,128.0,0.3,5.0,1500.0,457.0,0.30466666666666664,0.0013757798727273142,0.009960632567480301,0.0015421833195607285,0.006833224937485977,0.007693719366288154,0.29963,0.0015896540504147542,-0.00036999999999997034,0.001469183446680504,0.0076838669948198855
300.0,128.0,0.6,5.0,1500.0,161.0,0.10733333333333334,0.00139038346790236,0.008558165937211733,0.0012212178396841446,0.003348774621544355,0.008500055143696115,0.60116,0.006097786483634902,0.001160000000000072,0.005576020086047087,0.008389857729119437
600.0,32.0,0.3,5.0,3000.0,924.0,0.308,0.007774390027926892,0.03828107884983183,0.004680126600937577,0.0309750973984785,0.03228445918033653,0.29583,0.0024772969139770233,-0.004169999999999996,0.004722128757244982,0.03225783488683895
600.0,32.0,0.6,5.0,3000.0,351.0,0.117,0.007764369164107653,0.03481454768558145,0.0028584896341452997,0.013912997548934476,0.03429068974260535,0.5918500000000001,0.01177003610869566,-0.008149999999999945,0.013313508177786907,0.03412374287821818
600.0,64.0,0.3,5.0,3000.0,924.0,0.308,0.0032107811252036224,0.019920266079833847,0.002410011940848123,0.014040382885120268,0.015752223699099822,0.29944000000000004,0.002802097428713018,-0.0005599999999999717,0.002568073207679262,0.01573939985434578
600.0,64.0,0.6,5.0,3000.0,351.0,0.117,0.003308188135424414,0.017861690706973608,0.0014679911728996044,0.006255519089515435,0.01750631785683222,0.5998300000000001,0.012631785305331933,-0.00016999999999998128,0.011299491138984968,0.017266336977204384
600.0,128.0,0.3,5.0,3000.0,924.0,0.308,0.001370392240051486,0.01008618055086742,0.0014782488227469642,0.006706640282040807,0.007531726461991789,0.29982000000000003,0.0005203364296299113,-0.00017999999999996908,0.0004989989979949777,0.007530222806456569
600.0,128.0,0.6,5.0,3000.0,351.0,0.117,0.0014167932756432937,0.009349967521192735,0.0011230616324584006,0.0030931478744290995,0.009011665384847333,0.60097,0.004173517700932899,0.0009700000000000708,0.0038568769749630755,0.008956057398115969
1200.0,32.0,0.3,5.0,6000.0,1834.0,0.30566666666666664,0.00795808993211684,0.03781430179398482,0.004585028660349921,0.02985651004047875,0.03256005506572067,0.29773,0.0024772969139770233,-0.002269999999999983,0.0031721443851123786,0.032547529401392494
1200.0,32.0,0.6,5.0,6000.0,694.0,0.11566666666666667,0.007914320982950801,0.035388201836307316,0.0029026669845017635,0.015510274669546496,0.034566431428771555,0.58995,0.004936344801571334,-0.010050000000000003,0.010977089778260918,0.03445158138943598
1200.0,64.0,0.3,5.0,6000.0,1834.0,0.30566666666666664,0.003096111244351728,0.020189425901266544,0.0024294060329524375,0.014202557530292141,0.016131575867601007,0.30058,0.0014407463343698043,0.000580000000000036,0.0014131525041551826,0.016128532604011023
1200.0,64.0,0.6,5.0,6000.0,694.0,0.11566666666666667,0.002982942207540989,0.018030569721050736,0.001443274357861662,0.007219926500866393,0.017238622358305516,0.59755,0.005932748098478519,-0.002449999999999952,0.0058446984524439015,0.017173851810999136
1200.0,128.0,0.3,5.0,6000.0,1834.0,0.30566666666666664,0.0013911747047555868,0.010132346050350715,0.001486775684063161,0.00671706154247426,0.007926318737260345,0.30058,0.0008497058314499258,0.000580000000000036,0.0009560334722173954,0.007924427169394847
1200.0,128.0,0.6,5.0,6000.0,694.0,0.11566666666666667,0.0013946326325346642,0.008834364700016266,0.0012420173998015569,0.0031539120360801897,0.008600329213059137,0.59945,0.003858918242202107,-0.0005499999999999394,0.003495067953559715,0.008552507774375027
