stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d2_heldout,d1_heldout,d1_truth,d2_heldout,d2_truth,d3_heldout,d3_truth
P2-B,400.0,e3fe823,0fe46fa9dffe2b53,30b695a0e202b800,04fb92a978907134,400.0,38.0,ok,ok,0.261,0.19,0.21775385264935612,0.072,0.1099852227147984,0.042,0.09964112307367533
P2-B,401.0,e3fe823,fd3855e588915471,2f3d539cc943fa0d,05c01be2a945ca3a,401.0,36.0,ok,ok,0.229,0.204,0.23072047327276568,0.032,0.09169659835199662,0.046,0.10057046270864145
P2-B,402.0,e3fe823,7a7b3bdabceeeb33,ee58401f4786a142,693f903a7255de16,402.0,44.0,ok,ok,0.139,0.17,0.22431380797139552,0.056,0.10327058576085814,0.045,0.10253444105584184
P2-B,403.0,e3fe823,,,,,,scene_invalid: 2+1D scene: only 29 eligible targets (minimum 30),,,,,,,,
P2-B,404.0,e3fe823,bcdd45566483c902,25de39a2c03a637f,439c7c43228edbbf,404.0,38.0,ok,ok,0.156,0.175,0.20040249973519755,0.046,0.10083677576527911,0.083,0.11757229107086113
P2-B,405.0,e3fe823,,,,,,scene_invalid: 2+1D scene: only 25 eligible targets (minimum 30),,,,,,,,
P2-B,406.0,e3fe823,4dcea6241657a5a9,79e1e33f9523aabb,7ef69f7784671974,406.0,42.0,ok,ok,0.201,0.153,0.2030153910585279,0.049,0.10637629567584546,0.064,0.11025023557742644
P2-B,407.0,e3fe823,,,,,,scene_invalid: 2+1D scene: only 27 eligible targets (minimum 30),,,,,,,,
P2-B,408.0,e3fe823,4a73435ced1d79ed,29f2fc912c684c0f,5f30f35a10d479b8,408.0,43.0,ok,ok,0.199,0.142,0.21858267716535434,0.068,0.10782152230971129,0.052,0.10393700787401575
P2-B,409.0,e3fe823,,,,,,scene_invalid: 2+1D scene: only 29 eligible targets (minimum 30),,,,,,,,
P2-B,410.0,e3fe823,cd9961d98d110fa8,3af463e3ed2d23d4,29bee09f5adff3f6,410.0,39.0,ok,ok,0.121,0.192,0.22217520101565807,0.041,0.09733389758781211,0.082,0.11024121878967415
P2-B,411.0,e3fe823,a099b8ef398400e3,b4c2935269787d16,5b5dfe16960ae8ad,411.0,34.0,ok,ok,0.176,0.194,0.2139584443260522,0.031,0.08875865743207245,0.052,0.10356952583910495
P2-B,412.0,e3fe823,355a9aee01529d3e,33e95f41b7ca2342,942781fcd33c8742,412.0,44.0,ok,ok,0.108,0.253,0.26081491568031845,0.052,0.11113438776579031,0.069,0.10212632240494396
P2-B,413.0,e3fe823,4eb1f087950e5192,39c3cd52ec7f08a1,ffdf86daf9624ca3,413.0,44.0,ok,ok,0.181,0.196,0.23861852433281006,0.035,0.11480900052328624,0.079,0.11857666143380428
P2-B,414.0,e3fe823,8068cd87296592d7,f4bf1d0cda54dbcd,86e428b6aa866990,414.0,30.0,ok,ok,0.148,0.176,0.20882542409276358,0.034,0.09555507837663732,0.049,0.10274855056903585
P2-B,415.0,e3fe823,dacabc6f214fd6dd,54ed429cdc6725c3,6eb1b8d51833ea10,415.0,44.0,ok,ok,0.231,0.215,0.2524861300115147,0.042,0.10530723332984403,0.078,0.11075054956558149
P2-B,416.0,e3fe823,aa5aad44cef3c143,618400f4b3030632,2da547d213e0cf7d,416.0,35.0,ok,ok,0.183,0.17,0.20528325907065564,0.133,0.13133884998939105,0.118,0.11266709102482496
P2-B,417.0,e3fe823,73e147b00c89eea8,dd7ba9e63fb50390,252ded8ccd9c0b6a,417.0,44.0,ok,ok,0.176,0.118,0.21267252195734002,0.048,0.10759096612296111,0.071,0.11292346298619825
P2-B,418.0,e3fe823,d62ea238680fce3e,a1f7ad3bbf1b6683,f81fd454150ea0b2,418.0,43.0,ok,ok,0.18,0.211,0.2158673522930003,0.051,0.10043026550529961,0.056,0.1029488928533949
P2-B,419.0,e3fe823,9355ffd2a833d8e1,08815f649d32513a,c9db0b947b402671,419.0,43.0,ok,ok,0.227,0.139,0.21558959295006294,0.036,0.10333613092740243,0.039,0.11540075535039866
