seed,diagnostic,rho_epsilon,rho_truth,n_cells
300,instrument_margin,1.0,0.9761904761904763,8
300,mm_distance,-0.2142857142857143,-0.3333333333333334,8
300,abundance_distance,0.7857142857142858,0.8095238095238096,8
300,height_distance,0.9940297973880049,0.9700772721497398,8
301,instrument_margin,0.9285714285714287,0.9285714285714287,8
301,mm_distance,-0.2142857142857143,-0.2142857142857143,8
301,abundance_distance,0.7857142857142858,0.7857142857142858,8
301,height_distance,0.9761904761904763,0.9761904761904763,8
302,instrument_margin,0.9761904761904763,0.9761904761904763,8
302,mm_distance,-0.07142857142857144,0.07142857142857144,8
302,abundance_distance,0.7619047619047621,0.8333333333333335,8
302,height_distance,0.9581010095306071,0.9221722216732094,8
303,instrument_margin,1.0,0.9761904761904763,8
303,mm_distance,0.4285714285714286,0.38095238095238104,8
303,abundance_distance,0.7857142857142858,0.8095238095238096,8
303,height_distance,0.9518763181059627,0.9157291161525718,8
304,instrument_margin,1.0,0.9761904761904763,8
304,mm_distance,0.6904761904761906,0.7142857142857144,8
304,abundance_distance,0.8333333333333335,0.880952380952381,8
304,height_distance,0.9761904761904763,1.0,8
305,instrument_margin,0.9047619047619048,0.9761904761904763,8
305,mm_distance,0.14285714285714288,-0.07142857142857144,8
305,abundance_distance,0.7857142857142858,0.880952380952381,8
305,height_distance,0.9880235200593538,0.9157291161525718,8
306,instrument_margin,1.0,0.9642857142857145,7
306,mm_distance,0.39285714285714296,0.1785714285714286,7
306,abundance_distance,0.8571428571428573,0.8928571428571429,7
306,height_distance,1.0,0.9642857142857145,7
307,instrument_margin,0.9047619047619048,0.9761904761904763,8
307,mm_distance,0.3333333333333334,0.3333333333333334,8
307,abundance_distance,0.7619047619047621,0.7619047619047621,8
307,height_distance,1.0,0.9523809523809524,8
308,instrument_margin,0.9285714285714287,0.9285714285714287,8
308,mm_distance,-0.07142857142857144,-0.07142857142857144,8
308,abundance_distance,0.7857142857142858,0.7857142857142858,8
308,height_distance,0.9880235200593538,0.9880235200593538,8
309,instrument_margin,0.9761904761904763,0.9761904761904763,8
309,mm_distance,0.8571428571428572,0.9285714285714287,8
309,abundance_distance,0.7857142857142858,0.7857142857142858,8
309,height_distance,0.9761904761904763,0.9761904761904763,8
310,instrument_margin,0.9761904761904763,0.9285714285714287,8
310,mm_distance,0.5000000000000001,0.5714285714285715,8
310,abundance_distance,0.7857142857142858,0.8095238095238096,8
310,height_distance,1.0,0.9761904761904763,8
311,instrument_margin,0.9642857142857145,1.0,7
311,mm_distance,-0.3214285714285715,-0.21428571428571433,7
311,abundance_distance,0.8571428571428573,0.8928571428571429,7
311,height_distance,0.991031208965115,0.991031208965115,7
312,instrument_margin,0.9285714285714287,0.9523809523809524,8
312,mm_distance,0.09523809523809526,0.14285714285714288,8
312,abundance_distance,0.7857142857142858,0.7857142857142858,8
312,height_distance,0.9940297973880049,0.934148484292342,8
313,instrument_margin,1.0,0.9761904761904763,8
313,mm_distance,-0.261904761904762,-0.30952380952380953,8
313,abundance_distance,0.7857142857142858,0.8095238095238096,8
313,height_distance,1.0,0.9761904761904763,8
314,instrument_margin,0.9761904761904763,0.9761904761904763,8
314,mm_distance,-0.30952380952380953,-0.30952380952380953,8
314,abundance_distance,0.7857142857142858,0.7857142857142858,8
314,height_distance,1.0,1.0,8
315,instrument_margin,0.9761904761904763,1.0,8
315,mm_distance,-0.261904761904762,-0.3571428571428572,8
315,abundance_distance,0.7857142857142858,0.8095238095238096,8
315,height_distance,0.9940297973880049,0.9700772721497398,8
316,instrument_margin,1.0,0.9761904761904763,8
316,mm_distance,0.19047619047619052,0.07142857142857144,8
316,abundance_distance,0.7857142857142858,0.8095238095238096,8
316,height_distance,1.0,0.9761904761904763,8
317,instrument_margin,0.9761904761904763,1.0,8
317,mm_distance,-0.4523809523809524,-0.38095238095238104,8
317,abundance_distance,0.7857142857142858,0.8095238095238096,8
317,height_distance,0.9940297973880049,0.9700772721497398,8
318,instrument_margin,0.9047619047619048,0.9047619047619048,8
318,mm_distance,-0.09523809523809526,-0.09523809523809526,8
318,abundance_distance,0.7857142857142858,0.7857142857142858,8
318,height_distance,0.9940297973880049,0.9940297973880049,8
319,instrument_margin,0.9761904761904763,0.9761904761904763,8
319,mm_distance,0.6904761904761906,0.6904761904761906,8
319,abundance_distance,0.7857142857142858,0.7857142857142858,8
319,height_distance,0.9880235200593538,0.9880235200593538,8
