beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
18.0,2,bipartite,918002,0,0.026427666666666665,intermediate,644e87b,90232.0,8443.0,9786.0,10572.0,1.994341546959916,17.0,-75.7860290636528
18.0,2,bipartite,918002,1,0.026427666666666665,intermediate,644e87b,90683.0,10099.0,10033.0,11461.0,1.9876872475353924,18.0,-77.84671194306127
18.0,2,bipartite,918002,2,0.026427666666666665,intermediate,644e87b,91181.0,9201.0,10638.0,10154.0,1.9803721455703123,18.0,-77.04794278716388
18.0,2,bipartite,918002,3,0.026427666666666665,intermediate,644e87b,91544.0,9102.0,11374.0,10125.0,1.9750614365790504,18.0,-76.24100715879678
18.0,2,bipartite,918002,4,0.026427666666666665,intermediate,644e87b,90934.0,9125.0,10085.0,10626.0,1.9839960571347266,17.0,-75.32137313562444
18.0,2,bipartite,918002,5,0.026427666666666665,intermediate,644e87b,91258.0,9312.0,10603.0,10083.0,1.9792441314712543,20.0,-74.35939786767543
18.0,2,bipartite,918002,6,0.026427666666666665,intermediate,644e87b,91161.0,10008.0,10514.0,10312.0,1.9806652687791169,18.0,-76.17729763016226
18.0,2,bipartite,918002,7,0.026427666666666665,intermediate,644e87b,91734.0,8807.0,10397.0,9865.0,1.9722888577570785,17.0,-75.28363645021949
18.0,2,bipartite,918002,8,0.026427666666666665,intermediate,644e87b,91460.0,9323.0,10641.0,10669.0,1.9762887670451539,18.0,-77.72550785419871
18.0,2,bipartite,918002,9,0.026427666666666665,intermediate,644e87b,91487.0,8098.0,11323.0,11594.0,1.9758941635405436,20.0,-77.27736787073705
18.0,2,bipartite,918002,10,0.026427666666666665,intermediate,644e87b,92438.0,8681.0,10649.0,10666.0,1.9620580331671942,17.0,-76.74650876465705
18.0,2,bipartite,918002,11,0.026427666666666665,intermediate,644e87b,92533.0,10227.0,12308.0,10303.0,1.960682517688201,17.0,-76.7858214883309
18.0,2,bipartite,918002,12,0.026427666666666665,intermediate,644e87b,93054.0,8319.0,11955.0,11046.0,1.9531601020540394,19.0,-75.76739276871783
18.0,2,bipartite,918002,13,0.026427666666666665,intermediate,644e87b,92071.0,9140.0,10388.0,9710.0,1.9673831507431792,16.0,-77.18928646280635
18.0,2,bipartite,918002,14,0.026427666666666665,intermediate,644e87b,93101.0,7900.0,9776.0,11641.0,1.9524832511506194,20.0,-76.28415665907616
18.0,2,bipartite,918002,15,0.026427666666666665,intermediate,644e87b,92523.0,9018.0,11495.0,10599.0,1.9608272524155632,18.0,-77.17704929884708
18.0,2,bipartite,918002,16,0.026427666666666665,intermediate,644e87b,92415.0,8979.0,12168.0,11709.0,1.9623912328554645,18.0,-78.80080532155029
18.0,2,bipartite,918002,17,0.026427666666666665,intermediate,644e87b,92505.0,10129.0,10952.0,11609.0,1.9610878083353613,18.0,-79.0015115005488
18.0,2,bipartite,918002,18,0.026427666666666665,intermediate,644e87b,91421.0,9437.0,11966.0,12586.0,1.9768589247033863,16.0,-77.50885622376566
18.0,2,bipartite,918002,19,0.026427666666666665,intermediate,644e87b,91538.0,9071.0,11360.0,11619.0,1.9751490712979152,19.0,-78.49898751141971
18.0,2,bipartite,918002,20,0.026427666666666665,intermediate,644e87b,91054.0,8491.0,11492.0,11387.0,1.9822344077463718,19.0,-75.71454426749371
18.0,2,bipartite,918002,21,0.026427666666666665,intermediate,644e87b,90785.0,10061.0,12586.0,11905.0,1.9861861940336585,20.0,-78.16419397029445
18.0,2,bipartite,918002,22,0.026427666666666665,intermediate,644e87b,92043.0,11765.0,11261.0,11139.0,1.9677901655398742,17.0,-79.41399383358576
18.0,2,bipartite,918002,23,0.026427666666666665,intermediate,644e87b,92304.0,9929.0,12044.0,11958.0,1.9640002725498107,18.0,-77.86975069860237
18.0,2,bipartite,918002,24,0.026427666666666665,intermediate,644e87b,92180.0,8318.0,10951.0,10420.0,1.9657996997433127,19.0,-76.55988665479018
18.0,2,bipartite,918002,25,0.026427666666666665,intermediate,644e87b,92642.0,10581.0,11896.0,11970.0,1.9591057681283885,18.0,-78.804904970731
18.0,2,bipartite,918002,26,0.026427666666666665,intermediate,644e87b,92892.0,10132.0,11701.0,11335.0,1.9554952969803843,18.0,-78.50509799917943
18.0,2,bipartite,918002,27,0.026427666666666665,intermediate,644e87b,92332.0,9898.0,11698.0,11583.0,1.9635942340080237,18.0,-77.1663380501822
18.0,2,bipartite,918002,28,0.026427666666666665,intermediate,644e87b,92557.0,8144.0,10331.0,9999.0,1.9603352084145538,21.0,-74.14344855048185
18.0,2,bipartite,918002,29,0.026427666666666665,intermediate,644e87b,92236.0,8298.0,10783.0,10568.0,1.964986801158108,22.0,-73.02352981213564
18.0,2,bipartite,918002,30,0.026427666666666665,intermediate,644e87b,92071.0,7351.0,9361.0,9370.0,1.9673831507431792,21.0,-72.04959840111161
18.0,2,bipartite,918002,31,0.026427666666666665,intermediate,644e87b,93037.0,9693.0,11026.0,11350.0,1.9534049917091112,19.0,-76.51532263882372
18.0,2,bipartite,918002,32,0.026427666666666665,intermediate,644e87b,91788.0,8756.0,10559.0,10048.0,1.9715017517997175,23.0,-73.73068940071384
18.0,2,bipartite,918002,33,0.026427666666666665,intermediate,644e87b,92957.0,8829.0,10268.0,9246.0,1.9545579222975822,20.0,-73.1074144614555
18.0,2,bipartite,918002,34,0.026427666666666665,intermediate,644e87b,92986.0,10037.0,11152.0,10500.0,1.954139887958493,19.0,-76.88413968308222
18.0,2,bipartite,918002,35,0.026427666666666665,intermediate,644e87b,92499.0,8945.0,11241.0,10685.0,1.96117466985695,20.0,-77.25727649098778
18.0,2,bipartite,918002,36,0.026427666666666665,intermediate,644e87b,92542.0,8122.0,10064.0,10497.0,1.9605522677661287,20.0,-76.35796106121308
18.0,2,bipartite,918002,37,0.026427666666666665,intermediate,644e87b,92605.0,7805.0,10504.0,10516.0,1.959640818736398,20.0,-74.22405626644863
18.0,2,bipartite,918002,38,0.026427666666666665,intermediate,644e87b,92572.0,9483.0,11517.0,11050.0,1.9601181788690472,20.0,-75.74214436218335
18.0,2,bipartite,918002,39,0.026427666666666665,intermediate,644e87b,92872.0,8097.0,11134.0,10451.0,1.9557838316724023,18.0,-75.72028365164304
18.0,2,bipartite,918002,40,0.026427666666666665,intermediate,644e87b,92612.0,8691.0,11029.0,9603.0,1.9595395790559245,21.0,-75.63281754645746
18.0,2,bipartite,918002,41,0.026427666666666665,intermediate,644e87b,91502.0,9466.0,11932.0,9793.0,1.9756749821325776,19.0,-75.09912465156906
18.0,2,bipartite,918002,42,0.026427666666666665,intermediate,644e87b,90827.0,8693.0,10068.0,10013.0,1.9855685305074342,19.0,-71.0188916180755
18.0,2,bipartite,918002,43,0.026427666666666665,intermediate,644e87b,90925.0,7046.0,9633.0,9667.0,1.9841282605721622,19.0,-69.89304157806306
18.0,2,bipartite,918002,44,0.026427666666666665,intermediate,644e87b,90705.0,8019.0,9468.0,10251.0,1.9873633693395276,21.0,-72.26885719119085
18.0,2,bipartite,918002,45,0.026427666666666665,intermediate,644e87b,90766.0,7375.0,10158.0,10005.0,1.986465693170926,21.0,-72.15756614289833
18.0,2,bipartite,918002,46,0.026427666666666665,intermediate,644e87b,91668.0,8372.0,10463.0,9986.0,1.973251410694572,20.0,-73.92900638372619
